Edition,Gender,Discipline,Medal_Bronze,Medal_Gold,Medal_Silver
2000,Men,Beach volley.,2,2,2
2000,Men,Boxing,24,12,12
2000,Men,Canoe / Kayak F,16,16,16
2000,Men,Canoe / Kayak S,4,4,4
2000,Men,Cycling Road,2,2,2
2000,Men,Cycling Track,16,15,14
2000,Men,Diving,6,6,6
2000,Men,Dressage,2,0,1
2000,Men,Eventing,2,5,3
2000,Men,Fencing,13,14,13
2000,Men,Football,18,18,18
2000,Men,Handball,15,15,15
2000,Men,Hockey,16,16,16
2000,Men,Judo,14,7,7
2000,Men,Jumping,5,5,4
2000,Men,Modern Pentath.,1,1,1
2000,Men,Mountain Bike,1,1,1
2000,Men,Rowing,28,28,28
2000,Men,Sailing,14,14,14
2000,Men,Shooting,10,10,10
2000,Men,Swimming,26,33,32
2000,Men,Table Tennis,3,3,3
2000,Men,Taekwondo,4,4,4
2000,Men,Tennis,3,3,3
2000,Men,Trampoline,1,1,1
2000,Men,Triathlon,1,1,1
2000,Men,Volleyball,12,12,12
2000,Men,Water polo,13,13,13
2000,Men,Weightlifting,8,8,8
2000,Men,Wrestling Free.,8,8,8
2000,Men,Wrestling Gre-R,8,8,8
2000,Women,Archery,4,4,4
2000,Women,Artistic G.,11,11,11
2000,Women,Athletics,30,28,32
2000,Women,Badminton,4,4,4
2000,Women,Basketball,12,12,12
2000,Women,Beach volley.,2,2,2
2000,Women,Canoe / Kayak F,7,7,7
2000,Women,Canoe / Kayak S,1,1,1
2000,Women,Cycling Road,2,2,2
2000,Women,Cycling Track,4,4,4
2000,Women,Diving,6,6,6
2000,Women,Dressage,3,5,4
2000,Women,Eventing,3,0,2
2000,Women,Fencing,8,9,9
2000,Women,Football,18,18,18
2000,Women,Handball,15,15,15
2000,Women,Hockey,16,16,16
2000,Women,Judo,14,7,7
2000,Women,Jumping,0,0,1
2000,Women,Modern Pentath.,1,1,1
2000,Women,Mountain Bike,1,1,1
2000,Women,Rhythmic G.,7,7,7
2000,Women,Rowing,20,20,20
2000,Women,Sailing,4,4,4
2000,Women,Shooting,7,7,7
2000,Women,Softball,15,15,15
2000,Women,Swimming,30,33,31
2000,Women,Synchronized S.,10,10,10
2000,Women,Table Tennis,3,3,3
2000,Women,Taekwondo,4,4,4
2000,Women,Tennis,3,3,3
2000,Women,Trampoline,1,1,1
2000,Women,Triathlon,1,1,1
2000,Women,Volleyball,12,12,12
2000,Women,Water polo,13,13,13
2000,Women,Weightlifting,7,7,7
2004,Men,Archery,4,4,4
2004,Men,Artistic G.,13,13,13
2004,Men,Athletics,30,31,32
2004,Men,Badminton,4,4,4
2004,Men,Baseball,24,23,24
2004,Men,Basketball,12,12,11
2004,Men,Beach volley.,2,2,2
2004,Men,Boxing,22,11,11
2004,Men,Canoe / Kayak F,16,16,16
2004,Men,Canoe / Kayak S,4,4,4
2004,Men,Cycling Road,2,2,2
2004,Men,Cycling Track,14,16,16
2004,Men,Diving,6,6,6
2004,Men,Dressage,2,2,3
2004,Men,Eventing,2,6,2
2004,Men,Fencing,14,13,14
2004,Men,Football,17,14,17
2004,Men,Handball,14,14,15
2004,Men,Hockey,16,16,16
2004,Men,Judo,14,7,7
2004,Men,Jumping,4,4,4
2004,Men,Modern Pentath.,1,1,1
2004,Men,Mountain Bike,1,1,1
2004,Men,Rowing,28,28,28
2004,Men,Sailing,11,11,11
2004,Men,Shooting,10,10,10
2004,Men,Swimming,30,31,30
2004,Men,Table Tennis,3,3,3
2004,Men,Taekwondo,4,4,4
2004,Men,Tennis,3,3,3
2004,Men,Trampoline,1,1,1
2004,Men,Triathlon,1,1,1
2004,Men,Volleyball,12,12,11
2004,Men,Water polo,13,13,13
2004,Men,Weightlifting,8,8,8
2004,Men,Wrestling Free.,7,7,7
2004,Men,Wrestling Gre-R,7,7,7
2004,Women,Archery,4,4,4
2004,Women,Artistic G.,11,11,11
2004,Women,Athletics,29,31,30
2004,Women,Badminton,4,4,4
2004,Women,Basketball,11,12,12
2004,Women,Beach volley.,2,2,2
2004,Women,Canoe / Kayak F,7,7,7
2004,Women,Canoe / Kayak S,1,1,1
2004,Women,Cycling Road,2,2,2
2004,Women,Cycling Track,4,4,4
2004,Women,Diving,6,6,6
2004,Women,Dressage,3,3,2
2004,Women,Eventing,4,0,4
2004,Women,Fencing,7,7,6
2004,Women,Football,17,16,17
2004,Women,Handball,15,15,15
2004,Women,Hockey,16,16,15
2004,Women,Judo,14,7,7
2004,Women,Jumping,0,1,1
2004,Women,Modern Pentath.,1,1,1
2004,Women,Mountain Bike,1,1,1
2004,Women,Rhythmic G.,7,7,7
2004,Women,Rowing,20,20,20
2004,Women,Sailing,7,7,7
2004,Women,Shooting,7,7,7
2004,Women,Softball,15,15,15
2004,Women,Swimming,29,32,33
2004,Women,Synchronized S.,11,11,11
2004,Women,Table Tennis,3,3,3
2004,Women,Taekwondo,4,4,4
2004,Women,Tennis,3,3,1
2004,Women,Trampoline,1,1,1
2004,Women,Triathlon,1,1,1
2004,Women,Volleyball,12,12,12
2004,Women,Water polo,13,13,13
2004,Women,Weightlifting,7,7,7
2004,Women,Wrestling Free.,4,4,4
2008,Men,Archery,4,4,4
2008,Men,Artistic G.,13,13,13
2008,Men,Athletics,30,30,30
2008,Men,BMX,1,1,1
2008,Men,Badminton,4,4,4
2008,Men,Baseball,24,24,24
2008,Men,Basketball,12,12,12
2008,Men,Beach volley.,2,2,2
2008,Men,Boxing,22,11,11
2008,Men,Canoe / Kayak F,16,16,16
2008,Men,Canoe / Kayak S,4,4,4
2008,Men,Cycling Road,2,2,1
2008,Men,Cycling Track,13,13,13
2008,Men,Diving,6,6,6
2008,Men,Dressage,1,0,1
2008,Men,Eventing,1,5,2
2008,Men,Fencing,11,9,11
2008,Men,Football,18,18,18
2008,Men,Handball,14,15,14
2008,Men,Hockey,17,17,16
2008,Men,Judo,14,7,7
2008,Men,Jumping,3,3,4
2008,Men,Modern Pentath.,1,1,1
2008,Men,Mountain Bike,1,1,1
2008,Men,Rowing,28,28,28
2008,Men,Sailing,11,11,11
2008,Men,Shooting,9,9,9
2008,Men,Swimming,32,36,33
2008,Men,Table Tennis,4,4,4
2008,Men,Taekwondo,8,4,4
2008,Men,Tennis,3,3,3
2008,Men,Trampoline,1,1,1
2008,Men,Triathlon,1,1,1
2008,Men,Volleyball,12,12,12
2008,Men,Water polo,13,13,13
2008,Men,Weightlifting,8,8,8
2008,Men,Wrestling Free.,14,7,7
2008,Men,Wrestling Gre-R,13,7,7
2008,Women,Archery,4,4,4
2008,Women,Artistic G.,11,11,11
2008,Women,Athletics,28,29,30
2008,Women,BMX,1,1,1
2008,Women,Badminton,4,4,4
2008,Women,Basketball,12,12,12
2008,Women,Beach volley.,2,2,2
2008,Women,Canoe / Kayak F,7,7,7
2008,Women,Canoe / Kayak S,1,1,1
2008,Women,Cycling Road,2,2,2
2008,Women,Cycling Track,3,3,3
2008,Women,Diving,6,6,6
2008,Women,Dressage,3,4,3
2008,Women,Eventing,5,1,4
2008,Women,Fencing,10,11,10
2008,Women,Football,18,18,18
2008,Women,Handball,14,14,14
2008,Women,Hockey,16,16,16
2008,Women,Judo,14,7,7
2008,Women,Jumping,2,2,1
2008,Women,Modern Pentath.,1,1,1
2008,Women,Mountain Bike,1,1,1
2008,Women,Rhythmic G.,7,7,7
2008,Women,Rowing,20,20,20
2008,Women,Sailing,7,7,7
2008,Women,Shooting,6,6,6
2008,Women,Softball,15,15,15
2008,Women,Swimming,31,35,33
2008,Women,Synchronized S.,11,11,11
2008,Women,Table Tennis,4,4,4
2008,Women,Taekwondo,8,4,4
2008,Women,Tennis,3,3,3
2008,Women,Trampoline,1,1,1
2008,Women,Triathlon,1,1,1
2008,Women,Volleyball,12,12,12
2008,Women,Water polo,13,13,13
2008,Women,Weightlifting,7,7,7
2008,Women,Wrestling Free.,8,4,4
