Edition,Gender,Discipline,Medal_Bronze,Medal_Gold,Medal_Silver
1928,Men,Wrestling Free.,7,7,7
1928,Men,Wrestling Gre-R,6,6,6
1928,Women,Artistic G.,12,12,12
1928,Women,Athletics,8,8,8
1928,Women,Diving,2,2,2
1928,Women,Fencing,1,1,1
1928,Women,Jumping,1,0,0
1928,Women,Sailing,0,1,0
1928,Women,Swimming,8,8,8
1932,Men,Artistic G.,15,15,15
1932,Men,Athletics,29,29,29
1932,Men,Boxing,8,8,8
1932,Men,Cycling Road,4,4,4
1932,Men,Cycling Track,8,8,8
1932,Men,Diving,2,2,2
1932,Men,Dressage,4,4,4
1932,Men,Eventing,1,4,4
1932,Men,Fencing,21,21,20
1932,Men,Hockey,12,11,11
1932,Men,Jumping,1,1,1
1932,Men,Modern Pentath.,1,1,1
1932,Men,Rowing,26,26,26
1932,Men,Sailing,7,19,15
1932,Men,Shooting,2,2,2
1932,Men,Swimming,9,9,9
1932,Men,Water polo,7,10,8
1932,Men,Weightlifting,5,5,5
1932,Men,Wrestling Free.,7,7,7
1932,Men,Wrestling Gre-R,7,7,7
1932,Women,Athletics,9,9,9
1932,Women,Diving,2,2,2
1932,Women,Fencing,1,1,1
1932,Women,Swimming,8,8,8
1936,Men,Artistic G.,16,15,15
1936,Men,Athletics,29,29,29
1936,Men,Basketball,11,14,9
1936,Men,Boxing,8,8,8
1936,Men,Canoe / Kayak F,14,14,14
1936,Men,Cycling Road,4,4,4
1936,Men,Cycling Track,8,8,8
1936,Men,Diving,2,2,2
1936,Men,Dressage,4,4,4
1936,Men,Eventing,4,4,4
1936,Men,Fencing,21,21,21
1936,Men,Football,14,14,13
1936,Men,Handball,17,22,22
1936,Men,Hockey,12,19,22
1936,Men,Jumping,5,5,5
1936,Men,Modern Pentath.,1,1,1
1936,Men,Polo,4,4,4
1936,Men,Rowing,26,26,26
1936,Men,Sailing,14,14,14
1936,Men,Shooting,3,3,3
1936,Men,Swimming,9,9,9
1936,Men,Water polo,9,11,11
1936,Men,Weightlifting,5,6,4
1936,Men,Wrestling Free.,7,7,7
1936,Men,Wrestling Gre-R,7,7,7
1936,Women,Artistic G.,8,8,8
1936,Women,Athletics,9,9,9
1936,Women,Diving,2,2,2
1936,Women,Fencing,1,1,1
1936,Women,Swimming,8,8,8
1948,Men,Artistic G.,17,17,14
1948,Men,Athletics,30,30,30
1948,Men,Basketball,12,14,14
1948,Men,Boxing,8,8,8
1948,Men,Canoe / Kayak F,12,12,12
1948,Men,Cycling Road,4,4,4
1948,Men,Cycling Track,8,8,8
1948,Men,Diving,2,2,2
1948,Men,Dressage,4,4,4
1948,Men,Eventing,4,4,4
1948,Men,Fencing,21,21,21
1948,Men,Football,14,12,15
1948,Men,Hockey,12,20,12
1948,Men,Jumping,4,4,4
1948,Men,Modern Pentath.,1,1,1
1948,Men,Rowing,26,26,26
1948,Men,Sailing,13,13,14
1948,Men,Shooting,4,4,4
1948,Men,Swimming,9,9,9
1948,Men,Water polo,9,9,10
1948,Men,Weightlifting,6,6,6
1948,Men,Wrestling Free.,8,8,8
1948,Men,Wrestling Gre-R,8,8,8
1948,Women,Artistic G.,8,8,8
1948,Women,Athletics,12,12,12
1948,Women,Canoe / Kayak F,1,1,1
1948,Women,Diving,2,2,2
1948,Women,Fencing,1,1,1
1948,Women,Swimming,8,8,8
1952,Men,Artistic G.,14,15,18
1952,Men,Athletics,30,30,30
1952,Men,Basketball,12,14,14
1952,Men,Boxing,20,10,10
1952,Men,Canoe / Kayak F,12,12,12
1952,Men,Cycling Road,4,4,4
1952,Men,Cycling Track,8,8,8
1952,Men,Diving,2,2,2
1952,Men,Dressage,3,4,3
1952,Men,Eventing,4,4,4
1952,Men,Fencing,21,21,21
1952,Men,Football,12,15,11
1952,Men,Hockey,13,14,11
1952,Men,Jumping,4,4,4
1952,Men,Modern Pentath.,4,4,4
1952,Men,Rowing,26,26,26
1952,Men,Sailing,14,15,13
1952,Men,Shooting,7,7,7
1952,Men,Swimming,9,9,9
